First Name,Last Name,Title,Company,Industry,Company Size,LinkedIn URL,Email,Location,Pain Point,Outreach Status,Follow Up Date,Notes
,,Head of Operations,,SaaS,,,,,"Manual reporting, data entry between tools",Not Contacted,,
,,VP of Operations,,E-commerce,,,,,"Order processing, inventory sync, customer comms",Not Contacted,,
,,Founder / CEO,,Agency (Marketing),,,,,"Client reporting, onboarding workflows, invoicing",Not Contacted,,
,,Revenue Operations Manager,,B2B SaaS,,,,,"CRM hygiene, lead routing, pipeline updates",Not Contacted,,
,,Director of Operations,,Logistics & Supply Chain,,,,,"Shipment tracking, vendor comms, document processing",Not Contacted,,
,,COO,,Professional Services,,,,,"Timesheet collection, project status updates, billing",Not Contacted,,
,,Head of Growth,,Fintech Startup,,,,,"Onboarding flows, KYC follow-ups, user activation",Not Contacted,,
,,Operations Manager,,Real Estate,,,,,"Lead follow-up, contract prep, scheduling",Not Contacted,,
,,Chief of Staff,,Series A–C Startup,,,,,"Cross-team reporting, meeting prep, task tracking",Not Contacted,,
,,Marketing Operations Manager,,B2B Tech,,,,,"Campaign ops, lead enrichment, HubSpot/Salesforce sync",Not Contacted,,
,,IT Manager,,Mid-Market Company,,,,,"Employee onboarding, software provisioning, helpdesk triage",Not Contacted,,
,,Head of Customer Success,,SaaS Product,,,,,"Health score updates, QBR prep, churn alerts",Not Contacted,,
,,Founder / COO,,E-commerce Brand,,,,,"Returns processing, review requests, restock alerts",Not Contacted,,
,,Operations Director,,Healthcare Admin,,,,,"Appointment reminders, insurance follow-ups, record updates",Not Contacted,,
,,Business Operations Manager,,Consulting Firm,,,,,"Proposal generation, timesheet aggregation, utilization reports",Not Contacted,,
